Experiment,Num_Features,Accuracy,Precision,Recall,F1,IoU,ROC-AUC
S1 SAR Only,6,0.7998364621307622,0.516737674984784,0.6902439024390243,0.5910198398886182,0.41946640316205536,0.8496843106356152
S1 + S2 (Optical),15,0.982692242172328,0.9352051835853131,0.9856910569105691,0.9597846738442052,0.9226788432267884,0.9990254344938174
S1 + S2 + Terrain (Full),17,0.9843957616435556,0.9411035337879727,0.9873170731707317,0.9636565624504047,0.9298621745788668,0.9991465254336177
